solution_id,cost,dissatisfaction,peak_power
0,2.93,0.0000,12.50
1,-0.67,1.0000,5.43
2,-0.67,1.0000,5.43
3,2.93,0.0000,12.50
4,2.16,0.2125,15.00
5,-0.00,0.8149,0.02
6,0.21,0.7550,2.00
7,0.47,0.6831,7.39
8,2.60,0.0923,13.54
9,0.72,0.6146,6.82
10,0.30,0.7307,7.22
11,1.03,0.5277,7.86
12,0.65,0.6327,8.35
13,1.41,0.4223,9.17
14,2.81,0.0322,12.47
15,2.31,0.1724,14.76
16,0.12,0.7808,0.52
17,2.75,0.0487,12.03
18,2.88,0.0127,13.39
19,2.53,0.1111,12.89
20,-0.22,0.8743,5.04
21,2.71,0.0618,14.58
22,-0.27,0.8890,2.34
23,-0.52,0.9592,2.48
24,1.14,0.4977,11.78
25,0.69,0.6214,6.05
26,-0.13,0.8493,2.21
27,-0.47,0.9453,2.30
28,-0.32,0.9023,1.63
29,1.80,0.3145,14.19
30,2.21,0.1989,14.02
31,0.37,0.7101,3.39
32,1.56,0.3812,8.60
33,0.57,0.6551,6.44
34,0.61,0.6448,4.34
35,-0.18,0.8626,2.97
36,2.64,0.0799,13.20
37,2.49,0.1228,14.58
38,2.37,0.1546,10.89
39,0.41,0.7014,9.15
40,2.10,0.2313,12.84
41,-0.14,0.8533,1.36
42,-0.05,0.8267,0.59
43,-0.63,0.9882,5.24
44,2.78,0.0427,14.16
45,1.68,0.3479,13.80
46,-0.38,0.9187,1.76
47,1.34,0.4419,12.51
48,1.73,0.3325,13.13
49,0.87,0.5735,10.10
50,2.37,0.1567,9.91
51,1.12,0.5039,10.72
52,0.34,0.7206,1.97
53,1.51,0.3938,13.80
54,1.84,0.3034,8.28
55,1.48,0.4041,9.93
56,1.30,0.4541,10.57
57,2.14,0.2196,11.58
58,0.17,0.7671,7.22
59,2.42,0.1430,13.03
60,-0.23,0.8784,1.05
61,2.24,0.1906,10.60
62,2.28,0.1817,10.41
63,0.14,0.7762,0.76
64,0.82,0.5872,5.25
65,2.51,0.1177,13.79
66,1.88,0.2925,11.60
67,0.96,0.5475,5.89
68,0.92,0.5583,5.49
69,-0.08,0.8350,3.63
70,1.87,0.2955,8.11
71,1.98,0.2630,11.03
72,0.43,0.6955,4.67
73,2.46,0.1315,11.27
74,1.35,0.4376,12.18
75,0.61,0.6432,9.59
76,1.91,0.2824,13.48
77,1.65,0.3547,8.89
78,2.42,0.1411,14.28
79,1.00,0.5357,8.54
80,2.86,0.0206,13.28
81,1.58,0.3748,13.56
82,1.64,0.3595,11.50
83,2.17,0.2112,11.41
84,1.18,0.4872,11.33
85,1.95,0.2722,11.27
86,0.57,0.6555,4.92
87,0.10,0.7848,2.08
88,-0.44,0.9366,5.79
89,0.08,0.7908,4.05
90,2.33,0.1671,10.60
91,0.55,0.6605,6.36
92,2.02,0.2526,12.09
93,1.59,0.3717,9.16
94,0.06,0.7969,2.88
95,0.79,0.5950,11.10
96,2.64,0.0808,13.13
97,1.05,0.5231,6.12
98,0.90,0.5641,4.08
99,1.82,0.3086,8.78
